county,facility_type,total_facilities,licensed_count,compliance_rate_pct
alameda,COMTYC,148,0,0.0
alameda,HHA,98,0,0.0
alameda,SNF,72,0,0.0
alameda,HOSPICE,51,0,0.0
alameda,UNLICEN,35,0,0.0
alameda,ASC,24,0,0.0
alameda,ESRD/CDC,24,0,0.0
alameda,ICFDDH,22,0,0.0
alameda,GACH,18,0,0.0
alameda,FQHC,12,0,0.0
alameda,CLHF,9,0,0.0
alameda,ICFDDN,9,0,0.0
alameda,FREEC,7,0,0.0
alameda,ESRD,7,0,0.0
alameda,FQHC/COMTYC,7,0,0.0
alameda,ADHC,4,0,0.0
alameda,PSYCHC,4,0,0.0
alameda,APH,3,0,0.0
alameda,ASC/SURGC,2,0,0.0
alameda,CDRH,1,0,0.0
alameda,REHABC/CORF,1,0,0.0
alameda,CMHC,1,0,0.0
alameda,REHABC,1,0,0.0
amador,HHA,3,0,0.0
amador,COMTYC,2,0,0.0
amador,SNF,1,0,0.0
amador,CTC,1,0,0.0
amador,ESRD/CDC,1,0,0.0
amador,FQHC,1,0,0.0
amador,GACH,1,0,0.0
amador,RHC/OP,1,0,0.0
amador,HOSPICE,1,0,0.0
amador,FQHC/COMTYC,1,0,0.0
butte,COMTYC,25,0,0.0
butte,RHC/OP,13,0,0.0
butte,SNF,9,0,0.0
butte,ASC,7,0,0.0
butte,HHA,6,0,0.0
butte,ESRD/CDC,5,0,0.0
butte,GACH,4,0,0.0
butte,ICFDDN,4,0,0.0
butte,RHC/MD,4,0,0.0
butte,HOSPICE,3,0,0.0
butte,ICFDDH,2,0,0.0
butte,FQHC/COMTYC,2,0,0.0
butte,PDHRCF,1,0,0.0
butte,ADHC,1,0,0.0
calaveras,COMTYC,5,0,0.0
calaveras,RHC/OP,4,0,0.0
calaveras,FQHC/COMTYC,2,0,0.0
calaveras,SNF,1,0,0.0
calaveras,GACH,1,0,0.0
calaveras,RHC,1,0,0.0
colusa,COMTYC,3,0,0.0
colusa,RHC,3,0,0.0
colusa,HHA,1,0,0.0
colusa,SNF,1,0,0.0
colusa,RHC/MD,1,0,0.0
colusa,GACH,1,0,0.0
colusa,HOSPICE,1,0,0.0
contra costa,HHA,51,0,0.0
contra costa,COMTYC,39,0,0.0
contra costa,HOSPICE,32,0,0.0
contra costa,UNLICEN,31,0,0.0
contra costa,SNF,29,0,0.0
contra costa,ASC,23,0,0.0
contra costa,ESRD/CDC,17,0,0.0
contra costa,ICFDDH,16,0,0.0
contra costa,ICFDDN,13,0,0.0
contra costa,GACH,9,0,0.0
contra costa,FREEC,4,0,0.0
contra costa,ESRD,3,0,0.0
contra costa,FQHC,3,0,0.0
contra costa,ADHC,2,0,0.0
contra costa,CLHF,2,0,0.0
contra costa,APH,2,0,0.0
contra costa,OPT/SP,2,0,0.0
contra costa,CDC,1,0,0.0
contra costa,PSYCHC,1,0,0.0
contra costa,HOFA,1,0,0.0
contra costa,FQHC/COMTYC,1,0,0.0
curry,HHA,1,0,0.0
del norte,COMTYC,10,0,0.0
del norte,HOSPICE,2,0,0.0
del norte,FQHC,2,0,0.0
del norte,RHC,2,0,0.0
del norte,GACH,1,0,0.0
del norte,HHA,1,0,0.0
del norte,SNF,1,0,0.0
del norte,CTC,1,0,0.0
del norte,ESRD/CDC,1,0,0.0
del norte,PPSREHB,1,0,0.0
el dorado,COMTYC,10,0,0.0
el dorado,HOSPICE,4,0,0.0
el dorado,SNF,4,0,0.0
el dorado,HHA,4,0,0.0
el dorado,RHC/OP,3,0,0.0
el dorado,GACH,2,0,0.0
el dorado,ASC,2,0,0.0
el dorado,RHC/MD,1,0,0.0
el dorado,ESRD/CDC,1,0,0.0
el dorado,OPT/SP,1,0,0.0
fresno,COMTYC,92,0,0.0
fresno,HHA,58,0,0.0
fresno,SNF,33,0,0.0
fresno,HOSPICE,31,0,0.0
fresno,ASC,24,0,0.0
fresno,RHC/OP,21,0,0.0
fresno,ICFDDN,15,0,0.0
